geometry,target,edges,coeff,fci,energy
"[[0.  0.  0. ]
 [0.  0.  0.5]
 [0.  0.  1. ]
 [0.  0.  1.5]]",[-0.08598088 -0.08598088],"[[(0, 1), (2, 3)], [(0, 3), (1, 2)], [(0, 2), (1, 3)]]","[[ 0.72775005 -0.65643763 -0.13306649  0.14752224]
 [ 0.65643763  0.72775005  0.14752224  0.13306649]
 [ 0.14752224 -0.13306649  0.65643763 -0.72775005]
 [-0.13306649 -0.14752224  0.72775005  0.65643763]]",-1.6531169519401026,-1.6151628581830253
"[[0.         0.         0.        ]
 [0.         0.         0.502002  ]
 [0.         0.         1.004004  ]
 [0.         0.         1.50600601]]",[-0.08115987 -0.08115725],"[[(0, 1), (2, 3)], [(0, 3), (1, 2)], [(0, 2), (1, 3)]]","[[ 0.72600766 -0.64118725 -0.16452982  0.18633765]
 [ 0.64117584  0.7259975   0.18637725  0.16457426]
 [ 0.18630304 -0.16456901  0.64119673 -0.72599929]
 [-0.16461345 -0.18634263  0.72598913  0.64118532]]",-1.66163962703068,-1.6506500759579255
"[[0.         0.         0.        ]
 [0.         0.         0.504004  ]
 [0.         0.         1.00800801]
 [0.         0.         1.51201201]]",[-0.0869891 -0.0869891],"[[(0, 1), (2, 3)], [(0, 3), (1, 2)], [(0, 2), (1, 3)]]","[[ 0.72748127 -0.65673549 -0.13312687  0.14746775]
 [ 0.65673549  0.72748127  0.14746775  0.13312687]
 [ 0.14746775 -0.13312687  0.65673549 -0.72748127]
 [-0.13312687 -0.14746775  0.72748127  0.65673549]]",-1.6700371900103477,-1.6329840232420585
"[[0.         0.         0.        ]
 [0.         0.         0.50600601]
 [0.         0.         1.01201201]
 [0.         0.         1.51801802]]",[-0.08749483 -0.08749483],"[[(0, 1), (2, 3)], [(0, 3), (1, 2)], [(0, 2), (1, 3)]]","[[ 0.72734736 -0.65688379 -0.13315694  0.14744061]
 [ 0.65688379  0.72734736  0.14744061  0.13315694]
 [ 0.14744061 -0.13315694  0.65688379 -0.72734736]
 [-0.13315694 -0.14744061  0.72734736  0.65688379]]",-1.6783159224054014,-1.6416926423301357
"[[0.         0.         0.        ]
 [0.         0.         0.50800801]
 [0.         0.         1.01601602]
 [0.         0.         1.52402402]]",[-0.08270468 -0.08270736],"[[(0, 1), (2, 3)], [(0, 3), (1, 2)], [(0, 2), (1, 3)]]","[[ 0.72556691 -0.64198218 -0.16423436  0.18557643]
 [ 0.64199331  0.72557678  0.18553786  0.16419082]
 [ 0.18560938 -0.16419711  0.64197327 -0.72557479]
 [-0.16415357 -0.18557082  0.72558465  0.64198441]]",-1.686479625912419,-1.6754211035020705
"[[0.         0.         0.        ]
 [0.         0.         0.51001001]
 [0.         0.         1.02002002]
 [0.         0.         1.53003003]]",[-0.08851084 -0.08851083],"[[(0, 1), (2, 3)], [(0, 3), (1, 2)], [(0, 2), (1, 3)]]","[[ 0.72707875 -0.65718109 -0.1332172   0.14738616]
 [ 0.65718109  0.72707875  0.14738616  0.1332172 ]
 [ 0.14738616 -0.1332172   0.65718109 -0.72707875]
 [-0.1332172  -0.14738616  0.72707875  0.65718109]]",-1.6945338731438078,-1.6587656760456708
"[[0.         0.         0.        ]
 [0.         0.         0.51201201]
 [0.         0.         1.02402402]
 [0.         0.         1.53603604]]",[-0.08375031 -0.08374843],"[[(0, 1), (2, 3)], [(0, 3), (1, 2)], [(0, 2), (1, 3)]]","[[ 0.72530139 -0.64251117 -0.16391308  0.18506698]
 [ 0.64250219  0.72529355  0.1850977   0.1639483 ]
 [ 0.18504061 -0.16394283  0.64251805 -0.7252953 ]
 [-0.16397806 -0.18507133  0.72528746  0.64250907]]",-1.7024750648946574,-1.6913702571404508
"[[0.         0.         0.        ]
 [0.         0.         0.51401401]
 [0.         0.         1.02802803]
 [0.         0.         1.54204204]]",[-0.08427376 -0.08427376],"[[(0, 1), (2, 3)], [(0, 3), (1, 2)], [(0, 2), (1, 3)]]","[[ 0.72515395 -0.64277441 -0.16381868  0.18481408]
 [ 0.64277441  0.72515395  0.18481408  0.16381868]
 [ 0.18481408 -0.16381868  0.64277441 -0.72515395]
 [-0.16381868 -0.18481408  0.72515395  0.64277441]]",-1.7103001749980038,-1.6991728681014295
"[[0.         0.         0.        ]
 [0.         0.         0.51601602]
 [0.         0.         1.03203203]
 [0.         0.         1.54804805]]",[-0.09005116 -0.09005117],"[[(0, 1), (2, 3)], [(0, 3), (1, 2)], [(0, 2), (1, 3)]]","[[ 0.72667656 -0.65762579 -0.13330735  0.14730463]
 [ 0.65762579  0.72667656  0.14730463  0.13330735]
 [ 0.14730463 -0.13330735  0.65762579 -0.72667656]
 [-0.13330735 -0.14730463  0.72667656  0.65762579]]",-1.7180139656898215,-1.683465230328752
"[[0.         0.         0.        ]
 [0.         0.         0.51801802]
 [0.         0.         1.03603604]
 [0.         0.         1.55405405]]",[-0.08532843 -0.08533043],"[[(0, 1), (2, 3)], [(0, 3), (1, 2)], [(0, 2), (1, 3)]]","[[ 0.72486669 -0.64329701 -0.16360183  0.18431406]
 [ 0.643306    0.7248745   0.18428338  0.16356649]
 [ 0.1843398  -0.16357281  0.64329037 -0.72487259]
 [-0.16353748 -0.18430913  0.72488039  0.64329936]]",-1.7256213112313112,-1.7144481259487938
