geometry,target,edges,coeff,fci,energy
"[[0.         0.         0.        ]
 [2.54784675 1.07914686 0.1638941 ]
 [3.25308096 3.65102231 2.4265431 ]
 [2.91798624 2.17449997 3.7402897 ]]",[-1.4554611  -1.13773392],"[[(0, 1), (2, 3)], [(0, 3), (1, 2)], [(0, 2), (1, 3)]]","[[ 7.07116478e-01 -7.07096741e-01 -6.77175383e-04  1.63513806e-04]
 [ 7.07095132e-01  7.07112394e-01  2.79138509e-03  8.62459297e-04]
 [-5.44104648e-04 -1.38482053e-03  7.07106686e-01 -7.07105311e-01]
 [-1.57006260e-03 -2.08376958e-03  7.07101043e-01  7.07107706e-01]]",-1.8826642280163188,-1.8826343270781623
"[[0.         0.         0.        ]
 [3.31930916 3.65022355 0.05794676]
 [1.58448215 1.33983231 2.38837547]
 [3.35776691 7.49757969 3.99521538]]",[-1.51696737 -1.57089673],"[[(0, 2), (1, 3)], [(0, 3), (1, 2)], [(0, 1), (2, 3)]]","[[ 7.07106812e-01 -1.48733244e-04 -7.07106719e-01  1.48627981e-04]
 [ 1.55480362e-04  7.07106766e-01 -1.41880863e-04 -7.07106765e-01]
 [ 7.07106734e-01 -7.09778802e-06  7.07106829e-01  6.50169117e-06]
 [ 3.50680004e-07  7.07106781e-01  2.45416844e-07  7.07106782e-01]]",-1.8665757866027235,-1.8665634887092302
"[[0.         0.         0.        ]
 [0.47095773 0.64688268 2.87221999]
 [2.77651959 3.12295234 4.02314081]
 [2.92102341 3.30611389 3.5179037 ]]",[-1.49268337 -0.16027093],"[[(0, 1), (2, 3)], [(0, 3), (1, 2)], [(0, 2), (1, 3)]]","[[ 7.07111961e-01 -7.07101598e-01 -6.15638909e-05 -8.99333966e-06]
 [ 7.07098001e-01  7.07108081e-01  3.10969162e-03  9.53307694e-04]
 [-1.05190123e-03 -1.10448746e-03  7.07105304e-01 -7.07106613e-01]
 [-1.99620477e-03 -2.06679130e-03  7.07101418e-01  7.07106307e-01]]",-2.030047903024528,-2.0300472265760625
"[[0.         0.         0.        ]
 [1.37459824 1.10735358 1.42144047]
 [1.6381297  1.40107955 4.36000829]
 [3.02791492 1.82819676 6.18934707]]",[-1.28718232 -1.31670256],"[[(0, 1), (2, 3)], [(0, 3), (1, 2)], [(0, 2), (1, 3)]]","[[ 0.70709515 -0.70710206 -0.00337969  0.00342226]
 [ 0.70710382  0.70709692  0.00302893  0.00299354]
 [ 0.00338328 -0.00341867  0.70709489 -0.70710231]
 [-0.00303252 -0.00298996  0.70710411  0.70709663]]",-1.877812376225744,-1.8775917297636617
"[[0.         0.         0.        ]
 [1.98734621 0.78639691 0.71308972]
 [3.45358802 3.79235247 3.30569641]
 [1.3421431  0.39341632 0.01725437]]",[-1.57082775 -0.30578068],"[[(0, 2), (1, 3)], [(0, 3), (1, 2)], [(0, 1), (2, 3)]]","[[ 6.85145047e-01  1.67167096e-01 -6.85069102e-01 -1.82515074e-01]
 [-1.74662417e-01  6.93630338e-01  1.74836048e-01 -6.76610930e-01]
 [ 7.07100796e-01  6.20167947e-04  7.07112019e-01  8.20122770e-04]
 [ 8.81865071e-03  7.00665206e-01 -1.02603961e-02  7.13361917e-01]]",-2.018869226809546,-2.0076018130622955
"[[0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [5.41055058e-01 2.89736679e+00 9.34073018e-01]
 [3.41290777e+00 5.68837488e+00 2.34797514e+00]
 [3.44182101e-03 1.25936039e+00 3.13011081e+00]]",[-1.57134383 -1.46007279],"[[(0, 2), (1, 3)], [(0, 1), (2, 3)], [(0, 3), (1, 2)]]","[[ 7.07107110e-01  1.76793411e-03 -7.07104072e-01  4.89976388e-04]
 [-6.44880760e-04  7.07106074e-01  6.33077231e-04 -7.07106911e-01]
 [ 7.07105102e-01  9.92127376e-05  7.07108448e-01  8.74121172e-05]
 [-1.22226993e-03  7.07105271e-01  1.03563998e-03  7.07106477e-01]]",-1.867307209784519,-1.867099974320966
"[[0.         0.         0.        ]
 [2.79789788 1.85750998 1.55286784]
 [1.59280787 1.95993827 3.04284512]
 [1.68049311 3.82728209 0.19927976]]",[-1.56630679 -1.07471865],"[[(0, 3), (1, 2)], [(0, 2), (1, 3)], [(0, 1), (2, 3)]]","[[ 0.70708951  0.00192161  0.00071938 -0.70712107]
 [-0.00220355  0.70702749 -0.70718192 -0.00100153]
 [-0.01258809  0.70706632  0.70696522 -0.00994684]
 [ 0.70700856  0.01287089  0.00966376  0.70702181]]",-1.8860219950091186,-1.8853289154791997
"[[0.         0.         0.        ]
 [0.93353438 1.71202369 2.73846859]
 [0.88397867 0.43717967 2.10894444]
 [3.30085981 4.67785958 3.49227712]]",[-1.57132185 -0.65325104],"[[(0, 3), (1, 2)], [(0, 2), (1, 3)], [(0, 1), (2, 3)]]","[[ 7.06386160e-01  3.03103083e-02 -3.38863142e-02 -7.06365058e-01]
 [-3.19164236e-02  7.06815327e-01 -7.05940192e-01  3.22781846e-02]
 [ 2.33406913e-04  7.06747087e-01  7.07458186e-01 -3.37863945e-03]
 [ 7.07106696e-01  1.39056157e-03  1.75448991e-03  7.07103322e-01]]",-1.9438114751959612,-1.942789263145848
"[[0.         0.         0.        ]
 [3.67406739 1.76128838 1.41876839]
 [1.05138271 1.28890042 3.5990391 ]
 [4.92320841 3.56683907 2.32258213]]",[-1.56119407 -1.33413882],"[[(0, 2), (1, 3)], [(0, 3), (1, 2)], [(0, 1), (2, 3)]]","[[ 7.07107629e-01  1.07408246e-04 -7.07105893e-01  2.12861453e-04]
 [ 4.11545626e-05  7.07105708e-01 -6.42991614e-05 -7.07107850e-01]
 [ 7.07104708e-01  1.16731337e-03  7.07106965e-01  1.14416513e-03]
 [-1.31587263e-03  7.07106883e-01 -9.95606357e-04  7.07104755e-01]]",-1.8707995951595888,-1.870764252050739
"[[0.         0.         0.        ]
 [1.78108228 2.84963401 2.40301088]
 [2.49850791 0.39452502 1.8660122 ]
 [0.89872126 3.7514194  0.90823746]]",[-1.51531302 -1.10284148],"[[(0, 2), (1, 3)], [(0, 3), (1, 2)], [(0, 1), (2, 3)]]","[[ 7.07101056e-01 -1.67431243e-04 -7.07112065e-01  7.72424662e-04]
 [ 6.29878528e-04  7.07031960e-01 -3.10043786e-04 -7.07181246e-01]
 [ 7.07022214e-01  1.08210520e-02  7.07020811e-01  1.11385311e-02]
 [-1.12822675e-02  7.07098779e-01 -1.06772787e-02  7.06944144e-01]]",-1.8841655090769296,-1.8833926272545591
"[[0.         0.         0.        ]
 [1.61368033 0.70232357 1.4259255 ]
 [3.54138208 3.30995816 3.47412982]
 [6.25576646 3.65381348 5.68158788]]",[-1.2878707 -1.5455582],"[[(0, 1), (2, 3)], [(0, 3), (1, 2)], [(0, 2), (1, 3)]]","[[ 7.07105482e-01 -7.07107595e-01 -5.85184611e-04  5.86089826e-04]
 [ 7.07107860e-01  7.07105698e-01  7.94009669e-05  1.97402273e-05]
 [ 5.55805787e-04 -6.15468558e-04  7.07108400e-01 -7.07104676e-01]
 [-5.00247432e-05 -4.91162925e-05  7.07104916e-01  7.07108643e-01]]",-1.8728683809701698,-1.8728613276104147
